Year,Countries,Cases,Deaths,Serotypes,Number of Serotypes,Sero1,Sero2,Sero3,Sero4,Dominent_Sero,Pop,PerMillion,PopPerHTh,CasesPerM,DeathsPerM,CasesPerTh,CFR (%),Death(CFR (%)),Population Growth,Median age,Fertility rate,Age: 65+,Age: 25-64,Age: 15-24,Age: 5-14,Age: 0-4,Total dependency ratio,Child dependency ratio,Old-age dependency ratio,Sex ratio at birth,life expectancy,Child mortality,Human Development Index,GDP per capita,Urban population,Rural population,"Current health expenditure per capita, PPP (current international $)",Out-of-pocket expenditure (% of current health expenditure),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years",Concentrations of fine particulate matter (PM2.5) - Residence area type: Total,DTP3 (% of one-year-olds immunized),Temperature anomaly,Annual COâ‚‚ emissions (per capita),Access to electricity (% of population),Gini coefficient (before tax) (World Inequality Database),Official development assistance (ODA) by recipient (Official donors),Taxes including social contributions (as a share of GDP),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Total number of emigrants,The totalpopulation not using improved sanitation facilities,Scientific and technical journal articles per million people,Number of Internet users,Annual Avg Temp,Annual Total Rainfall
2015,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,33831765,15.49,5.652,797292,10179813,7204290,9754035,5896313,94.613106,90.02678,4.586328,104.96952,62.6587,5.652,0.479,1928,8371880,25381619,215.72523,78.38229,0.00874,4.3,67.2032,64,0.44695863,0.28583142,71.5,0.49265584,4776190000,7.874765,25.375732,5400916,15540356,0.62778676,2788039,3.2,759.38
2016,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,34700614,15.681,5.542,817349,10540419,7449441,9903962,5989420,92.889725,88.34634,4.5433874,104.89165,63.1361,5.542,0.483,1931.2438,8665979,25970228,239.18875,75.974335,0.00874,4.5,64.00314,66,1.2430344,0.25666347,97.7,0.49265584,4545620000,9.837913,27.10293,5400916,15259316,1.7608739,3809983,4.22,817.38
2017,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,35688942,15.868,5.433,842144,10952596,7704034,10090364,6099779,91.29348,86.77957,4.5139127,104.79966,63.016,5.433,0.485,1909.733,8999963,26643455,264.54398,75.48258,0.00874,4.5,61.77561,66,1.0041171,0.27116078,97.7,0.5153931,4180810000,10.1876335,28.936964,5400916,14993407,2.0559194,4811862,4.51,179.3
2018,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,36743040,16.051,5.327,869729,11401235,7952525,10300888,6218637,89.84949,85.35564,4.49385,104.73038,63.081,5.327,0.486,1888.814,9353296,27333488,299.82254,76.22302,0.00874,4.5,70.25405,72,1.2058221,0.2885413,93.43088,0.5153931,3986370000,9.173828,27.832579,5400916,14699302,2.3905063,6163380,5.55,47.46
2019,Afghanistan,15,0,,0,No,No,No,No,,35700000,35.7,357,0.420168067,0,0.042016807,0,,37856126,16.234,5.238,899496,11887193,8194350,10533595,6341466,88.51191,84.03269,4.4792175,104.65933,63.5645,5.238,0.492,2031.7373,9727157,28042342,321.5254,76.81837,0.01618,4.5,62.48616,72,0.42566583,0.2859549,97.7,0.5153931,4468790300,8.362843,26.58173,5400916,14375867,3.5290382,6647431,3.3,585.35
2020,Afghanistan,300,0,,0,No,No,No,No,,35700000,35.7,357,8.403361345,0,0.840336134,0,,39068978,16.411,5.145,926198,12420582,8444268,10799525,6478381,87.24771,82.80868,4.439035,104.60698,62.5751,5.145,0.488,1928.4547,10142913,28829317,322.5256,74.813965,0.01618,4.5,62.48616,70,-0.17106438,0.29706252,97.7,0.5153931,4405720000,6.760211,24.68623,5853838,14049644,3.0724437,7170891,2.36,1123.24
2021,Afghanistan,775,0,"1,3",2,Yes,No,Yes,No,,35700000,35.7,357,21.70868347,0,2.170868347,0,,40000411,16.575,5.039,941009,12874381,8621571,10997458,6565972,86.08337,81.70576,4.37761,104.57196,61.9824,5.039,0.473,1485.547,10551772,29547690,322.5256,77.21405,0.01618,4.5,62.48616,66,1.4529027,0.2567944,97.7,0.5153931,4631780000,6.760211,21.840982,5853838,13646127,3.0724437,7170891,4.63,488.04
2022,Afghanistan,1266,0,"1,2,3,4",4,Yes,Yes,Yes,Yes,,35700000,35.7,357,35.46218487,0,3.546218487,0,,40578846,16.752,4.932,955674,13234074,8704884,11096249,6587947,84.962425,80.60636,4.356059,104.55453,61.9824,4.932,0.462,1357.9878,10946834,30181937,322.5256,77.21405,0.01618,4.5,62.48616,66,1.223075,0.26017997,97.7,0.52452385,3913480000,6.760211,7.3453736,5853838,13162634,3.0724437,7170891,3.75,706.7
2023,Afghanistan,1496,1,"1,2,3,4",4,Yes,Yes,Yes,Yes,,35700000,35.7,357,41.9047619,0.028011204,4.19047619,0.07,1 (0.07),41454762,16.94,4.84,985584,13709016,8840823,11263138,6656181,83.83609,79.46539,4.370692,104.52996,61.9824,4.84,0.462,1357.9878,10946834,30181937,322.5256,77.21405,0.01618,4.5,62.48616,66,1.3063666,0.2658372,97.7,0.52452385,3913480000,6.760211,7.3453736,5853838,13162634,3.0724437,7170891,3.75,706.7
2000,Bangladesh,5551,93,"1,2,3,4",0,Yes,Yes,Yes,Yes,DENV3,"106,315,000",106.315,"1,063",52.21276396,0.874758971,5.221276396,1.68,93 (1.68),134544303,19.675,3.279,4657116,51359989,28311653,32475060,17740479,68.873505,63.028122,5.8453875,103.21053,65.7791,3.279,0.491,1485.3092,30476706,98716621,28.449707,61.822067,0.00375,1.1,49.42935,82,-0.3854375,0.19725299,32,0.5525121,1374500000,4.924704,32.04765,5441094,81888760,3.4381804,91778,25.15,1845.7
2001,Bangladesh,2430,44,1,0,Yes,No,No,No,DENV1,"124,355,000",124.355,"1,244",19.54083069,0.353825741,1.954083069,1.81,44 (1.81),136805812,19.905,3.203,4783186,52729136,28785480,32470769,18037237,67.82979,61.961903,5.8678875,103.26573,66.1353,3.203,0.498,1551.1965,31727320,99943164,29.42671,65.805305,0.00375,1.2,49.42935,85,-0.17403586,0.22706798,35.032467,0.5525121,1394390000,5.518895,32.348614,5441094,80388530,3.2982333,170919,25.37,1850.98
2002,Bangladesh,6232,58,3,0,No,No,Yes,No,DENV3,"124,355,000",124.355,"1,244",50.11459129,0.466406658,5.011459129,0.93,58 (0.93),138933659,20.091,3.126,4917281,53985109,29136430,32646840,18247997,67.145195,61.22942,5.9157724,103.30074,66.6115,3.126,0.505,1621.267,33207655,100932171,33.254513,62.935337,0.00375,1.3,49.42935,83,-0.16948588,0.23037535,37.754128,0.5525121,1175010000,5.5858665,32.64477,5441094,78715180,3.136876,187689,25.52,1866.8
2003,Bangladesh,486,10,,0,No,No,No,No,,"124,355,000",124.355,"1,244",3.908166137,0.080414941,0.390816614,2.06,10 (2.06),140970356,20.287,3.029,5065777,55225052,29435348,32900562,18343616,66.51274,60.5291,5.983644,103.25271,66.8242,3.029,0.511,1710.7313,34711400,101791806,35.356216,63.01078,0.00375,1.4,49.42935,87,-0.18451087,0.2376081,40.474247,0.5525121,1649770000,5.814456,32.929344,5441094,76882856,4.152503,223698,25.42,1613.67
2004,Bangladesh,3934,13,"2,3",0,No,Yes,Yes,No,DENV3,"124,355,000",124.355,"1,244",31.63523783,0.104539423,3.163523783,0.33,13 (0.33),142902855,20.489,2.94,5224285,56458264,29693634,33177827,18348845,65.87314,59.809097,6.064039,103.15145,67.1874,2.94,0.518,1812.6246,36243549,102546176,38.290234,63.095577,0.00375,1.5,49.42935,99,-0.072372116,0.25179228,40.6,0.5525121,1698939900,5.8822703,33.202263,5441094,74916824,3.7992725,276242,25.48,1988.09
2005,Bangladesh,1048,4,"2,3",0,No,Yes,Yes,No,DENV2,"124,355,000",124.355,"1,244",8.427485827,0.032165976,0.842748583,0.38,4 (0.38),144715789,20.696,2.846,5390551,57691704,29913392,33464913,18255229,65.19106,59.037823,6.1532393,103.08447,67.2992,2.846,0.525,1925.6062,37777256,103135334,42.677727,65.38332,0.00244,1.6,49.42935,93,0.25622192,0.2606273,44.23,0.56387675,1461969900,5.9567494,33.471428,5492474,72780160,4.165916,340497,25.65,1856.25
2006,Bangladesh,2200,11,"2,3",0,No,Yes,Yes,No,DENV3,"124,355,000",124.355,"1,244",17.69128704,0.088456435,1.769128704,0.5,11 (0.5),146405982,20.911,2.755,5566027,58923108,30064482,33786163,18066201,64.52404,58.269207,6.254835,103.09744,67.2413,2.755,0.53,2057.6985,39247175,103381656,47.412685,65.63786,0.00244,1.7,49.42935,94,0.42808166,0.2850007,50.5251,0.56387675,1158730000,5.879643,33.63546,5492474,70364680,5.0905557,1426288,25.74,1650.59
2007,Bangladesh,466,0,"2,3",0,No,Yes,Yes,No,DENV3,"124,355,000",124.355,"1,244",3.747336255,0,0.374733626,0,0 (0),147989283,21.135,2.666,5752917,60149371,30136283,34133167,17817543,63.91229,57.540382,6.371906,103.14433,66.7144,2.666,0.533,2194.4224,40699664,103436270,53.19932,66.41324,0.00244,1.8,49.42935,94,-0.100289665,0.2883674,46.5,0.56387675,901789950,5.774423,34.33842,5492474,67793390,5.9785924,2594447,25.13,2520.7
2008,Bangladesh,1153,0,"2,3",0,No,Yes,Yes,No,DENV3,"124,355,000",124.355,"1,244",9.271842708,0,0.927184271,0,0 (0),149474264,21.368,2.577,5953732,61347540,30165994,34477664,17529333,63.33569,56.82984,6.5058484,103.124054,67.0506,2.577,0.535,2321.0505,42125647,103295671,55.57375,67.83095,0.00244,1.9,49.42935,96,0.059261322,0.30333978,54.268745,0.56387675,1127120000,6.391139,35.06337,5492474,65076864,7.249006,3635533,25.44,1587.3
2009,Bangladesh,474,0,"1,2,3",0,Yes,Yes,Yes,No,DENV1,"124,355,000",124.355,"1,244",3.811668208,0,0.381166821,0,0 (0),150873716,21.614,2.484,6171193,62522946,30206467,34771488,17201620,62.70319,56.048138,6.6550546,103.06259,67.4032,2.484,0.547,2448.887,43585126,103121684,60.08019,67.943474,0.00244,2.1,49.42935,97,0.5880731,0.3260235,57.077515,0.56387675,1022830000,6.2593117,35.81203,5492474,62326144,7.9335785,4547911,25.83,1872.07
2010,Bangladesh,409,0,,0,No,No,No,No,,"124,355,000",124.355,"1,244",3.288971091,0,0.328897109,0,0 (0),152201977,21.878,2.38,6406565,63705309,30264695,34986904,16838501,61.968678,55.15101,6.8176703,103.02569,68.6384,2.38,0.558,2599.2083,45202909,103188230,66.48543,67.955154,0.0038,2.2,49.42935,94,0.63584805,0.3550251,55.26,0.546304,1375270000,6.5402737,36.58476,6319871,59702170,9.615332,5490472,25.86,1792.97
2011,Bangladesh,1359,6,2,0,No,Yes,No,No,DENV2,"144,043,697",144.043697,"1,440",9.434637046,0.041654027,0.943463705,0.44,6 (0.44),153591075,22.17,2.309,6671645,64954278,30385899,35120637,16458613,61.09795,54.100224,6.9977264,103.112274,68.8094,2.309,0.565,2772,46903386,103307619,73.76082,68.17605,0.0038,2.4,49.96579,96,-0.12165276,0.36195275,59.6,0.546304,1378359900,7.2508764,37.382248,6319871,57080184,9.226421,6759495,25.49,1629.49
2012,Bangladesh,671,1,,0,No,No,No,No,,"144,043,697",144.043697,"1,440",4.658308652,0.006942338,0.465830865,0.15,1 (0.15),155070111,22.485,2.263,6961186,66274227,30620462,35122668,16091564,60.03984,52.85556,7.1842804,103.43291,69.554,2.263,0.575,2914.0488,48658361,103432288,82.239525,68.279396,0.0038,2.6,50.8172,94,-0.03911543,0.38501203,65.545746,0.546304,2062750000,7.5335684,38.2062,6319871,54427170,12.5808525,7604533,25.44,1439.65
2013,Bangladesh,1749,2,"1,2",2,Yes,Yes,No,No,DENV2,"144,043,697",144.043697,"1,440",12.14214878,0.013884676,1.214214878,0.11,2 (0.11),156532135,22.807,2.247,7242493,67608410,30927717,34971692,15781818,58.857605,51.507515,7.350089,103.85141,69.5646,2.247,0.577,3057.4697,50463354,103566785,85.73975,69.62186,0.0038,2.7,52.86825,96,-0.06524547,0.41373482,61.5,0.546304,2542679800,7.4816875,39.059124,6319871,51741750,11.599742,10212199,25.48,1840.43
2014,Bangladesh,375,0,"1,2",2,Yes,Yes,No,No,DENV2,"144,043,697",144.043697,"1,440",2.603376668,0,0.260337667,0,0 (0),157964931,23.134,2.228,7513702,68963380,31245030,34691078,15551733,57.636395,50.138317,7.4980755,104.181786,69.9856,2.228,0.585,3216.8923,52301622,103659677,91.1042,70.75863,0.0038,2.9,50.96257,97,0.086316265,0.42763633,62.4,0.546304,2355610000,7.2086844,39.940872,6319871,48998944,14.279824,18559396,26,1687.5
2015,Bangladesh,3162,6,"1,2",2,Yes,Yes,No,No,DENV2,"144,043,697",144.043697,"1,440",21.95167207,0.041654027,2.195167207,0.19,6 (0.19),159383180,23.457,2.227,7813901,70309555,31560298,34277478,15421927,56.45763,48.787155,7.6704745,104.414764,70.4913,2.227,0.604,3402.3213,54148316,103681684,95.81131,72.67827,0.00483,3.1,50.62575,98,0.08865976,0.48279482,74.00247,0.546304,2781570000,7.094294,40.854984,6831282,46185904,13.628524,20360069,25.87,2225.39
2016,Bangladesh,6060,14,"1,2",2,Yes,Yes,No,No,DENV2,"144,043,697",144.043697,"1,440",42.07056696,0.097192729,4.207056696,0.23,14 (0.23),160811935,23.774,2.227,8156716,71601160,31900151,33748349,15405506,55.37183,47.491047,7.880785,104.57142,71.09,2.227,0.613,3598.5103,56057220,103727348,108.9215,71.49494,0.00483,3.4,47.77741,98,0.54818916,0.5084297,75.92,0.52983737,2696129800,7.316912,41.800888,6831282,43347548,16.065945,28921009,26.19,2837.11
2017,Bangladesh,2769,8,"1,2,3",2,Yes,Yes,Yes,No,DENV2,"144,043,697",144.043697,"1,440",19.22333332,0.055538702,1.922333332,0.29,8 (0.29),162186147,24.023,2.205,8529081,72628938,32248408,33289337,15490275,54.64354,46.511105,8.132434,104.886696,71.7879,2.205,0.622,3808.8728,58016080,103777884,114.35421,70.08964,0.00483,3.4,46.18553,98,0.20525138,0.53352565,88,0.52983737,3836600000,7.649592,45.05996,6831282,40472404,18.910223,32035204,25.24,4904.3
2018,Bangladesh,10148,26,"1,2,3",3,Yes,Yes,Yes,No,DENV2,"144,043,697",144.043697,"1,440",70.45084382,0.180500782,7.045084382,0.26,26 (0.26),163523108,24.201,2.193,8925137,73417439,32541146,33017965,15621228,54.327198,45.903965,8.423231,105.20391,72.5675,2.193,0.636,4056.6465,59960707,103723251,121.7842,70.67902,0.00483,3.4,50.66434,98,-0.025576433,0.5296577,86.91528,0.52983737,2969140000,7.9265003,45.341454,6831282,37518444,18.571642,35683100,25.06,2779.1
2019,Bangladesh,101354,164,"1,3",3,Yes,No,Yes,No,DENV3,"144,043,697",144.043697,"1,440",703.6337036,1.138543396,70.36337036,0.16,164 (0.16),164913060,24.38,2.18,9337989,74243578,32721142,32852018,15758022,54.1749,45.444927,8.729971,105.26139,72.8057,2.18,0.646,4242.7515,61911343,103604879,127.91412,72.05021,0.00516,3.4,45.98906,98,0.3998165,0.5748977,92.2,0.52983737,4415740400,7.498063,45.556213,6831282,34507176,30.281261,39392860,25.67,2990.04
2020,Bangladesh,1405,3,3,0,No,No,Yes,No,DENV3,"144,043,697",144.043697,"1,440",9.753984584,0.020827013,0.975398458,0.21,3 (0.21),166298024,24.558,2.175,9703232,75138549,32799530,32742546,15913686,54.06754,45.07791,8.989628,105.18746,71.9678,2.175,0.657,4418.9644,63916296,103504655,132.84099,74.00198,0.00516,3.4,45.98906,98,0.028929234,0.57399535,96.2,0.52983737,5114589700,7.0021176,45.55705,7401763,31467698,29.430725,41520393,25.11,2884.57
2021,Bangladesh,28429,105,3,0,No,No,Yes,No,DENV3,"144,043,697",144.043697,"1,440",197.3637208,0.728945467,19.73637208,0.37,105 (0.37),167658855,24.733,2.173,10014907,76071755,32825495,32658451,16087523,53.95993,44.763275,9.196657,104.95338,72.3811,2.173,0.662,4684.003,65957486,103398765,132.84099,74.00198,0.00516,3.4,45.98906,98,0.47712708,0.6419053,98.99103,0.52983737,4685070000,7.642659,47.049175,7401763,28389938,29.430725,41520393,25.69,2311.96
2022,Bangladesh,62382,281,"3,4",2,No,No,Yes,Yes,DENV3,"165,158,616",165.158616,"1,652",377.7096316,1.701394737,37.77096316,0.45,281 (0.45),169384890,24.99,2.179,10391072,77356766,32903909,32441254,16290934,53.62135,44.19725,9.424096,104.68757,72.3811,2.179,0.67,4925.721,67979820,103206552,132.84099,74.00198,0.00516,3.4,45.98906,98,0.4329114,0.67221403,98.99103,0.47316957,5203450400,7.7674227,46.12119,7401763,25253136,29.430725,41520393,25.36,2140.24
2023,Bangladesh,321179,1705,"2,3",3,No,Yes,Yes,No,DENV3,"165,158,616",165.158616,"1,652",1944.669965,10.32340935,194.4669965,0.53,1705 (0.53),171466986,25.325,2.163,10836498,78958712,33041071,32124482,16505068,53.094788,43.419327,9.675464,104.561386,72.3811,2.163,0.67,4925.721,67979820,103206552,132.84099,74.00198,0.00516,3.4,45.98906,98,0.7418833,0.6615085,98.99103,0.47316957,5203450400,7.7674227,46.12119,7401763,25253136,29.430725,41520393,25.36,2140.24
2000,Bhutan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,596870,19.041,3.378,22458,219549,124496,155200,75167,73.48602,66.95839,6.5276346,105.76257,62.0103,3.378,0.582,4323.041,149256,437951,116.74334,11.541345,3.15778,2.1,29.51405,92,-0.4526902,0.66492033,31.15,0.47316957,73800000,10.714247,76.29135,120183,276073.66,1.8392059,2354,7.05,1049.41
2001,Bhutan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,610803,19.384,3.188,24200,226288,130312,156782,73221,71.285194,64.49888,6.786315,106.33952,63.4443,3.188,0.582,4559.524,159736,443498,137.53436,7.9342227,3.15778,2.2,29.51405,88,0.077452675,0.7608247,40.244278,0.47316957,84900000,9.369013,78.06206,120183,280673.6,1.6577067,5216,7.44,1038.87
2002,Bhutan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,624417,19.771,3.012,25982,233621,136117,157348,71349,68.880936,61.853798,7.027138,106.756165,64.0779,3.012,0.582,4931.44,170672,448376,137.35796,10.304089,3.15778,2.4,29.51405,86,-0.22821386,0.79613304,44.119186,0.47316957,86530000,10.254342,79.914986,120183,274706.06,10.063726,10374,7.23,991.41
2003,Bhutan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,637669,20.2,2.865,27779,241701,141741,156779,69669,66.30129,59.05665,7.244642,106.67467,64.6962,2.865,0.582,5186.7124,182062,452565,135.04819,19.008455,3.15778,2.5,29.51405,95,-0.22355221,0.7738576,41.1,0.6104917,91710000,10.152879,81.78299,120183,268162.03,5.7670946,15465,7.4,1139.06
2004,Bhutan,2579,0,"1,2",2,Yes,Yes,No,No,DENV2,"635,000",0.635,6.35,4061.417323,0,406.1417323,0,0,650558,20.667,2.781,29576,250600,147131,155166,68084,63.567085,56.1309,7.4361815,105.62777,65.2678,2.781,0.582,5368.4023,193925,456066,160.647,16.253637,3.15778,2.7,29.51405,89,-0.29626694,0.67606115,51.87139,0.6104917,84430000,8.284012,83.59697,120183,261087.84,14.40011,20520,7.3,1081.05
2005,Bhutan,19,0,3,1,No,No,Yes,No,DENV3,"635,000",0.635,6.35,29.92125984,0,2.992125984,0,0,661872,21.115,2.726,31059,259572,151338,152999,66900,61.073715,53.515125,7.5585895,104.70157,65.805,2.726,0.582,5643.85,205398,457925,154.17032,16.790382,2.04339,2.9,29.51405,95,-0.074096926,0.82505983,59.808113,0.6104917,88510000,9.232187,85.299255,120319,252946.67,9.015094,25519,7.41,1086.33
